#{"t_start": 1606266109.279531, "env_id": null}
r,l,t
-66.917464,204,536.357701
-359.144872,166,536.557061
-1732.763445,641,537.356806
17.209544,125,537.494828
-474.905188,500,538.004491
17.318492,90,538.098701
-1635.380868,223,538.322881
-1338.373936,444,538.86542
-1265.636097,291,539.234764
-4006.746349,594,539.92555
-2648.20445,593,540.633029
-481.482485,141,540.815172
-416.502612,110,540.946156
-600.686075,99,541.065367
-301.296903,274,541.396415
73.259553,74,541.486622
-2912.273654,536,542.118603
-502.453408,443,542.6406
-1217.186247,152,542.826519
-269.515665,328,543.280844
-989.103081,314,543.658225
-636.324013,293,544.018488
-35.80085,34,544.063016
-43.900008,102,544.185438
-483.382952,79,544.294652
-80.952558,106,544.419704
-1454.632346,310,544.79206
-1576.188739,335,545.195439
-299.951831,135,545.364169
-1153.986923,439,545.885834
-4969.218516,549,546.515791
-1546.802676,467,547.085034
81.459728,63,547.164788
-674.806042,315,547.540002
-2251.266926,426,548.065177
-1259.004003,468,548.624469
-3413.438793,599,549.348811
-120.922683,103,549.475736
-37.985631,99,549.607353
-595.691506,294,549.960325
-545.573598,216,550.232747
-827.769646,148,550.406469
-2780.330664,530,551.057669
-1678.304683,217,551.320842
-628.881858,139,551.486022
-3359.450074,523,552.123919
-131.546339,92,552.234766
-115.881617,114,552.372614
-1042.969177,450,552.921
-54.103543,116,553.048911
-2282.143411,382,553.497696
-992.087127,422,554.010652
-2378.775918,1042,555.265982
-191.310151,143,555.448523
-2833.618618,493,556.035605
44.121567,30,556.073358
-344.803365,314,556.454822
-2047.377132,597,557.185515
-710.912197,457,557.757036
-1909.985881,409,558.241671
-3078.802524,621,558.996766
-128.787027,288,559.348009
-759.821752,202,559.592308
-360.681158,93,559.705539
19.839054,100,559.826922
-2154.314033,474,560.400113
-1251.708593,268,560.722494
-2486.843414,537,561.37922
79.385106,131,561.547942
-521.036483,407,562.046138
2.271832,333,562.450412
-27.211029,34,562.494768
-2239.248428,536,563.140463
-484.026208,108,563.274297
-647.712546,109,563.404647
59.476743,185,563.628619
-877.029198,321,564.032035
-1137.083777,316,564.410671
44.917768,24,564.441466
-931.799311,385,564.896322
-17.587252,89,565.006384
-596.441371,138,565.187622
-30.070482,83,565.293063
-197.745842,523,565.919333
87.558351,127,566.073716
-5052.012594,523,566.734687
-2789.4718,585,567.427473
-1478.220291,434,567.94671
-162.61763,64,568.027806
-592.637076,281,568.359505
-194.14551,367,568.821908
-1922.210374,413,569.323225
-801.732481,359,569.762718
-2110.414909,239,570.059307
-155.218846,41,570.110518
-227.662931,74,570.19651
-179.23888,149,570.37242
-1174.961519,191,570.600017
-2945.253881,385,571.061617
-1948.859717,231,571.377668
-766.437401,490,571.956761
-2696.034876,528,572.626362
-1907.725293,223,572.891815
-2210.535405,306,573.247967
-1481.062237,374,573.66978
-557.213091,345,574.204134
-472.458721,121,574.443506
-2518.041968,482,575.099966
-6066.974641,536,575.736276
-391.714591,326,576.11074
-188.487288,407,576.594151
-579.302471,245,576.878305
-5338.519187,536,577.518622
-401.497677,105,577.639887
-294.780022,262,577.944462
-287.938146,113,578.072746
-4704.215177,452,578.604584
-1026.633432,415,579.097223
-190.123346,147,579.252306
-1278.594293,356,579.65855
85.943571,54,579.735027
-2975.597596,431,580.274757
-3832.428041,529,580.909849
-414.288763,471,581.463378
-779.431892,144,581.638901
-5764.965712,443,582.177799
-611.715441,267,582.492951
-5296.380834,538,583.149191
-1223.279617,452,583.716278
-1106.652191,339,584.117996
-2492.342219,558,584.806017
-2465.599424,520,585.426321
-3760.484632,463,585.993995
-35.035788,476,586.527809
-1724.871187,578,587.161334
-2393.955832,546,587.777577
75.020154,69,587.862738
-2296.576844,554,588.536988
-1181.903032,251,588.835984
83.827062,62,588.913882
-549.133275,142,589.080549
-413.248336,119,589.224274
-163.73106,66,589.316459
-1097.909709,188,589.541874
-817.402779,341,589.9577
-115.943304,330,590.364598
-3597.319392,482,590.974779
-962.819149,396,591.410482
-2940.166217,438,591.949609
-3079.96047,544,592.610323
-1014.836413,233,592.89262
65.549596,197,593.147054
-88.952288,459,593.709718
-1817.590217,273,594.038274
-651.353222,438,594.581571
-2193.388131,505,595.198033
-2456.695825,257,595.521963
-228.491476,344,595.924346
-6163.73106,511,596.531734
-1951.710663,430,597.05649
72.638639,83,597.157935
76.57273,66,597.240169
82.139516,62,597.314319
-602.94924,424,597.833357
40.942524,29,597.87227
-409.680117,111,598.005861
-4971.984547,561,598.674197
-1755.698341,192,598.909107
-1029.700479,564,599.595877
-217.100571,216,599.854096
-963.712514,179,600.06778
-240.901882,276,600.396002
-2337.393153,492,600.975302
-23.612454,35,601.019242
-998.885845,300,601.382418
-2628.260358,622,602.149291
-6620.616326,551,602.81805
-1124.548949,381,603.275424
-48.01802,193,603.508358
-2274.323788,645,604.296056
79.889557,86,604.401353
-5334.703997,540,605.076838
-1528.121561,439,605.589337
-271.711228,103,605.713905
-2828.966852,591,606.432311
-5996.051792,532,607.063108
-1701.451099,543,607.720919
-2074.766333,646,608.513672
-1167.646294,468,609.118652
-4785.134676,552,609.785066
-65.667267,161,609.988652
-393.047562,421,610.494083
-2261.461961,343,610.912846
-3520.179221,527,611.562373
